OBJECTID,Nombre del establecimiento educativo,Id del establecimiento educativo,Nombre de la sede educativa,Id de la sede educativa,Sector,Calendario,Género,Orden de la sede,Clase,Nombre de la Localidad,Zona,Matriculados por sede en el año 2023,Total consumo de energía en el año 2023 (kWh),Promedio consumo mensual de energía en el año 2023 (kWh),Consumo per cápita de energía en el año 2023 (kWh),Forma,coord_x,coord_y
417,COLEGIO LA GAITANA (IED),111001002330,LA GAITANA,111001002330,Oficial,A,Mixto,A,Distrital,Suba,URBANA,"1,228","43,520","3,626.67",35.44,,"-74,10861000002423","4,742219999872693"
418,COLEGIO LA GAITANA (IED),111001002330,VILLA MARIA,111001044288,Oficial,A,Mixto,B,Distrital,Suba,URBANA,942,"15,861","1,321.75",16.84,,"-74,10659999981308","4,739900000018381"
419,COLEGIO INSTITUTO TECNICO DISTRITAL JULIO FLOREZ (IED),111001015776,SANTA ROSA,111769000352,Oficial,A,Mixto,A,Distrital,Suba,URBANA,659,"19,600","1,633.33",29.74,,"-74,074110000315","4,695959999743542"
420,COLEGIO INSTITUTO TECNICO DISTRITAL JULIO FLOREZ (IED),111001015776,JULIO FLOREZ,111001015776,Oficial,A,Mixto,B,Distrital,Suba,URBANA,691,"65,160","5,430",94.30,,"-74,0775599999266","4,687189999785967"
421,COLEGIO ALBERTO LLERAS CAMARGO (IED),111001025020,ALBERTO LLERAS CAMARGO,111001025020,Oficial,A,Mixto,A,Distrital,Suba,URBANA,"3,242","101,840","8,486.67",31.41,,"-74,10247999983166","4,74348999976095"
422,COLEGIO TIBABUYES UNIVERSAL (IED),111001045225,TIBABUYES UNIVERSAL,111001045225,Oficial,A,Mixto,A,Distrital,Suba,URBANA,"1,527","45,535","3,794.58",29.82,,"-74,11047000044756","4,7462100001279515"
423,COLEGIO TIBABUYES UNIVERSAL (IED),111001045225,SEDE B,111001110094,Oficial,A,Mixto,B,Distrital,Suba,URBANA,968,"15,443","1,286.92",15.95,,"-74,10483999984717","4,7422400004318"
424,COLEGIO TIBABUYES UNIVERSAL (IED),111001045225,SEDE C,111001110337,Oficial,A,Mixto,C,Distrital,Suba,URBANA,"1,237","17,855","1,487.92",14.43,,"-74,09922000019085","4,743130000107349"
425,COLEGIO NUEVA COLOMBIA (IED),111001075272,NUEVA COLOMBIA,111001075272,Oficial,A,Mixto,A,Distrital,Suba,URBANA,"1,990","36,127","3,010.58",18.15,,"-74,09935999993294","4,728520000170921"
426,COLEGIO NUEVA COLOMBIA (IED),111001075272,AURES II,111001104141,Oficial,A,Mixto,B,Distrital,Suba,URBANA,831,0,0,0,,"-74,10119000021905","4,73468000029685"
427,COLEGIO GUSTAVO MORALES MORALES (IED),111001075515,GUSTAVO MORALES MORALES,111001075515,Oficial,A,Mixto,A,Distrital,Suba,URBANA,"1,838","62,388","5,199",33.94,,"-74,06438999987044","4,716690000536635"
428,COLEGIO GUSTAVO MORALES MORALES (IED),111001075515,CIUDAD JARDIN NORTE,111769000280,Oficial,A,Mixto,B,Distrital,Suba,URBANA,286,"10,789",899.08,37.72,,"-74,06978000027131","4,719330000165098"
429,COLEGIO RAMON DE ZUBIRIA (IED),111001086665,RAMON DE ZUBIRIA,111001086665,Oficial,A,Mixto,A,Distrital,Suba,URBANA,892,"27,680","2,306.67",31.03,,"-74,09229999997787","4,725740000534299"
430,COLEGIO RAMON DE ZUBIRIA (IED),111001086665,LA PALMA,111769003106,Oficial,A,Mixto,B,Distrital,Suba,URBANA,"1,535",8,0.67,0.01,,"-74,08672999965195","4,727570000235747"
431,COLEGIO RAMON DE ZUBIRIA (IED),111001086665,STEPHEN HAWKING,111001104566,Oficial,A,Mixto,C,Distrital,Suba,URBANA,885,"106,381","8,865.08",120.20,,"-74,08683000010936","4,727030000342166"
432,COLEGIO ALVARO GOMEZ HURTADO (IED),111001093084,ALVARO GOMEZ HURTADO,111001093084,Oficial,A,Mixto,A,Distrital,Suba,URBANA,"1,617","50,408","4,200.67",31.17,,"-74,09698999987168","4,7303300005782"
433,COLEGIO ALVARO GOMEZ HURTADO (IED),111001093084,LA CHUCUA NORTE,211769000217,Oficial,A,Mixto,B,Distrital,Suba,URBANA,"1,102","13,802","1,150.17",12.52,,"-74,09339999961969","4,735150000057794"
434,COLEGIO ALVARO GOMEZ HURTADO (IED),111001093084,SEDE C,111001110345,Oficial,A,Mixto,C,Distrital,Suba,URBANA,412,0,0,0,,"-74,09763000010429","4,73388000006465"
435,COLEGIO ALVARO GOMEZ HURTADO (IED),111001093084,SEDE D,111001110426,Oficial,A,Mixto,D,Distrital,Suba,URBANA,237,"10,973",914.42,46.30,,"-74,09650000032522","4,732670000250009"
436,COLEGIO LA TOSCANA - LISBOA (IED),111001094889,LA TOSCANA,111001094889,Oficial,A,Mixto,A,Distrital,Suba,URBANA,825,"19,041","1,586.75",23.08,,"-74,1134299996144","4,743560000243744"
437,COLEGIO LA TOSCANA - LISBOA (IED),111001094889,LISBOA,111001012394,Oficial,A,Mixto,B,Distrital,Suba,URBANA,665,"10,762",896.83,16.18,,"-74,1217800000804","4,740400000282855"
438,COLEGIO LA TOSCANA - LISBOA (IED),111001094889,SEDE C,111001110434,Oficial,A,Mixto,C,Distrital,Suba,URBANA,589,"10,732",894.33,18.22,,"-74,11562999979635","4,7417399997085825"
439,COLEGIO LA TOSCANA - LISBOA (IED),111001094889,SEDE D PRIMERA INFANCIA - MARIA CRISTINA SALAZAR CAMACHO - SABANA DE TIBABUYES,111001801161,Oficial,A,Mixto,D,Distrital,Suba,URBANA,0,0,0,0,,"-74,11021000015657","4,747219999868487"
440,COLEGIO DELIA ZAPATA OLIVELLA (IED),111001104256,DELIA ZAPATA OLIVELLA,111001104256,Oficial,A,Mixto,A,Distrital,Suba,URBANA,"2,289","122,440","10,203.33",53.49,,"-74,11333000005529","4,753209999983457"
441,COLEGIO GERARDO MOLINA RAMIREZ (IED),111001104264,GERARDO MOLINA RAMIREZ,111001104264,Oficial,A,Mixto,A,Distrital,Suba,URBANA,"3,254","121,086","10,090.50",37.21,,"-74,11581999976715","4,749059999743512"
442,COLEGIO GONZALO ARANGO (IED),111001104388,GONZALO ARANGO,111001104388,Oficial,A,Mixto,A,Distrital,Suba,URBANA,"2,436","97,920","8,160",40.20,,"-74,09467000003914","4,730180000501628"
443,COLEGIO GONZALO ARANGO (IED),111001104388,SEDE B,111001110108,Oficial,A,Mixto,B,Distrital,Suba,URBANA,208,"4,716",393,22.67,,"-74,09632000040017","4,738170000501848"
444,COLEGIO VIRGINIA GUTIERREZ DE PINEDA (IED),111001107069,VIRGINIA GUTIERREZ DE PINEDA,111001107069,Oficial,A,Mixto,A,Distrital,Suba,URBANA,"2,117","82,000","6,833.33",38.73,,"-74,09127999980367","4,731300000288655"
